stadium_name,match_date,stadium_capacity
olympiastadion,15/6/2024,71000
olympiastadion,21/6/2024,71000
olympiastadion,25/6/2024,71000
rheinenergiestadion,15/6/2024,43000
rheinenergiestadion,19/6/2024,43000
rheinenergiestadion,22/6/2024,43000
rheinenergiestadion,25/6/2024,43000
signal_idunaPark,15/6/2024,62000
signal_idunaPark,18/6/2024,62000
signal_idunaPark,22/6/2024,62000
signal_idunaPark,25/6/2024,62000
dusseldorf_arena,17/6/2024,47000
dusseldorf_arena,21/6/2024,47000
dusseldorf_arena,24/6/2024,47000
waldstadion,17/6/2024,47000
waldstadion,20/6/2024,47000
waldstadion,23/6/2024,47000
waldstadion,26/6/2024,47000
arena_aufSchalke,16/6/2024,50000
arena_aufSchalke,20/6/2024,50000
arena_aufSchalke,26/6/2024,50000
volksparkstadion,16/6/2024,49000
volksparkstadion19/6/2024,49000
volksparkstadion,22/6/2024,49000
volksparkstadion,26/6/2024,49000
leipzig_stadium,18/6/2024,40000
leipzig_stadium,21/6/2024,40000
leipzig_stadium,24/6/2024,40000
allianzArena,14/6/2024,66000
allianzArena,17/6/2024,66000
allianzArena,20/6/2024,66000
allianzArena,25/6/2024,66000
stuttgartArena,16/6/2024,51000
stuttgartArena,19/6/2024,51000
stuttgartArena,23/6/2024,51000
stuttgartArena,26/6/2024,51000
